uid,progress_bin,n,accuracy,repeat_rate
0,0-25%,72,0.805556,0.055556
0,25-50%,72,0.847222,0.069444
0,50-75%,72,0.861111,0.138889
0,75-100%,73,0.863014,0.054795
1,0-25%,59,0.644068,0.0
1,25-50%,59,0.559322,0.152542
1,50-75%,59,0.881356,0.016949
1,75-100%,60,0.95,0.1
6,0-25%,95,0.873684,0.136842
6,25-50%,95,0.894737,0.063158
6,50-75%,95,0.957895,0.126316
6,75-100%,96,0.9375,0.145833
7,0-25%,80,0.825,0.0375
7,25-50%,81,0.901235,0.148148
7,50-75%,80,0.825,0.075
7,75-100%,81,0.82716,0.037037
10,0-25%,93,0.473118,0.043011
10,25-50%,94,0.446809,0.148936
10,50-75%,93,0.494624,0.139785
10,75-100%,94,0.595745,0.244681
11,0-25%,173,0.965318,0.086705
11,25-50%,174,0.982759,0.086207
11,50-75%,174,0.948276,0.12069
11,75-100%,174,0.977011,0.235632
18,0-25%,126,0.912698,0.095238
18,25-50%,126,0.928571,0.095238
18,50-75%,126,0.888889,0.126984
18,75-100%,127,0.866142,0.220472
20,0-25%,104,0.692308,0.067308
20,25-50%,105,0.742857,0.066667
20,50-75%,105,0.666667,0.07619
20,75-100%,105,0.733333,0.161905
23,0-25%,186,0.903226,0.112903
23,25-50%,187,0.877005,0.096257
23,50-75%,186,0.903226,0.129032
23,75-100%,187,0.941176,0.203209
26,0-25%,63,0.730159,0.079365
26,25-50%,63,0.571429,0.063492
26,50-75%,63,0.507937,0.079365
26,75-100%,64,0.234375,0.171875
29,0-25%,92,0.880435,0.054348
29,25-50%,92,0.771739,0.206522
29,50-75%,92,0.869565,0.108696
29,75-100%,93,0.741935,0.16129
31,0-25%,83,0.843373,0.072289
31,25-50%,83,0.73494,0.13253
31,50-75%,83,0.831325,0.108434
31,75-100%,83,0.807229,0.120482
33,0-25%,88,0.818182,0.136364
33,25-50%,89,0.797753,0.101124
33,50-75%,88,0.727273,0.204545
33,75-100%,89,0.842697,0.134831
39,0-25%,107,0.82243,0.102804
39,25-50%,107,0.869159,0.084112
39,50-75%,107,0.878505,0.093458
39,75-100%,107,0.785047,0.158879
43,0-25%,84,0.892857,0.047619
43,25-50%,85,0.988235,0.058824
43,50-75%,85,0.882353,0.070588
43,75-100%,85,0.788235,0.082353
51,0-25%,99,0.939394,0.10101
51,25-50%,100,0.95,0.09
51,50-75%,99,0.89899,0.131313
51,75-100%,100,0.93,0.25
58,0-25%,129,0.96124,0.108527
58,25-50%,130,0.984615,0.1
58,50-75%,129,0.984496,0.100775
58,75-100%,130,0.969231,0.230769
62,0-25%,101,0.574257,0.059406
62,25-50%,101,0.811881,0.049505
62,50-75%,101,0.811881,0.049505
62,75-100%,101,0.752475,0.237624
75,0-25%,86,0.5,0.05814
75,25-50%,87,0.747126,0.206897
75,50-75%,87,0.816092,0.091954
75,75-100%,87,0.862069,0.206897
76,0-25%,89,0.876404,0.101124
76,25-50%,90,0.844444,0.1
76,50-75%,90,0.844444,0.1
76,75-100%,90,0.966667,0.255556
80,0-25%,171,0.783626,0.163743
80,25-50%,172,0.872093,0.069767
80,50-75%,171,0.847953,0.187135
80,75-100%,172,0.709302,0.232558
81,0-25%,94,0.882979,0.095745
81,25-50%,94,0.808511,0.148936
81,50-75%,94,0.914894,0.095745
81,75-100%,95,0.936842,0.168421
88,0-25%,104,0.798077,0.076923
88,25-50%,105,0.866667,0.12381
88,50-75%,105,0.92381,0.114286
88,75-100%,105,0.904762,0.228571
96,0-25%,64,0.75,0.078125
96,25-50%,65,0.907692,0.092308
96,50-75%,65,0.769231,0.107692
96,75-100%,65,0.784615,0.230769
