uid,n_interactions,n_questions,n_kcs,accuracy_total,repeat_rate,first_accuracy,repeat_accuracy,first_timestamp,last_timestamp,repeat_gain,sequence_duration_days,activity_bucket,cohort
0,289,263,139,0.844291,0.079585,0.845865,0.826087,1599481857000,1621767610000,-0.019778,257.936956,media,mixed_profile
1,237,191,120,0.759494,0.067511,0.769231,0.625,1594464593000,1621731308000,-0.144231,315.586979,baja,mixed_profile
6,381,329,166,0.91601,0.11811,0.916667,0.911111,1596530528000,1615115346000,-0.005556,215.10206,alta,high_accuracy_low_repeat
7,322,298,154,0.84472,0.074534,0.845638,0.833333,1594804944000,1622248368000,-0.012304,317.632222,media,mixed_profile
10,374,319,136,0.502674,0.144385,0.490625,0.574074,1594427111000,1622279142000,0.083449,322.36147,alta,mixed_profile
11,695,583,232,0.968345,0.132374,0.970149,0.956522,1594449326000,1622288670000,-0.013628,322.21463,muy alta,high_accuracy_low_repeat
18,505,399,185,0.89901,0.134653,0.913043,0.808824,1594460702000,1621849504000,-0.10422,317.000023,muy alta,high_accuracy_low_repeat
20,419,376,192,0.708831,0.093079,0.713158,0.666667,1596414518000,1622205190000,-0.046491,298.503148,muy alta,mixed_profile
23,746,594,198,0.906166,0.135389,0.908527,0.891089,1594035008000,1621739680000,-0.017438,320.655926,muy alta,high_accuracy_low_repeat
26,253,227,126,0.509881,0.098814,0.526316,0.36,1593784391000,1622291721000,-0.166316,329.945949,baja,mixed_profile
29,369,320,166,0.815718,0.132791,0.821875,0.77551,1597278216000,1622278743000,-0.046365,289.357951,alta,mixed_profile
31,332,296,131,0.804217,0.108434,0.800676,0.833333,1595930041000,1622030294000,0.032658,302.086262,media,mixed_profile
33,354,249,159,0.79661,0.144068,0.79538,0.803922,1594113834000,1621863663000,0.008542,321.178576,alta,mixed_profile
39,428,342,168,0.838785,0.109813,0.83727,0.851064,1596502504000,1621598853000,0.013793,290.467002,muy alta,mixed_profile
43,339,316,148,0.887906,0.064897,0.892744,0.818182,1595215133000,1622295904000,-0.074563,313.43485,alta,high_accuracy_low_repeat
51,398,337,163,0.929648,0.143216,0.923754,0.964912,1595658322000,1621995494000,0.041159,304.82838,alta,high_accuracy_low_repeat
58,518,419,182,0.974903,0.135135,0.973214,0.985714,1594522518000,1622283362000,0.0125,321.306065,muy alta,high_accuracy_low_repeat
62,404,330,152,0.737624,0.09901,0.741758,0.7,1594460706000,1621341059000,-0.041758,311.115197,alta,mixed_profile
75,347,298,135,0.731988,0.14121,0.728188,0.755102,1605697998000,1622020074000,0.026914,188.912917,alta,mixed_profile
76,359,308,149,0.883008,0.139276,0.877023,0.92,1597893235000,1621340915000,0.042977,271.385185,alta,high_accuracy_low_repeat
80,686,556,219,0.803207,0.163265,0.797909,0.830357,1594458742000,1622278607000,0.032448,321.989178,muy alta,mixed_profile
81,377,326,151,0.885942,0.127321,0.878419,0.9375,1596362319000,1621659974000,0.059081,292.796933,alta,high_accuracy_low_repeat
88,419,345,148,0.873508,0.136038,0.867403,0.912281,1599645341000,1622280219000,0.044877,261.977755,muy alta,high_accuracy_low_repeat
96,259,211,128,0.803089,0.127413,0.809735,0.757576,1595225605000,1621072582000,-0.052159,299.154826,baja,mixed_profile
98,369,296,162,0.815718,0.132791,0.815625,0.816327,1594460816000,1621778159000,0.000702,316.172951,alta,mixed_profile
103,408,371,182,0.857843,0.07598,0.851459,0.935484,1596428217000,1609463803000,0.084025,150.874838,alta,high_accuracy_low_repeat
111,236,198,104,0.864407,0.076271,0.857798,0.944444,1593505259000,1613860429000,0.086646,235.592245,baja,high_accuracy_low_repeat
119,330,284,132,0.718182,0.133333,0.730769,0.636364,1600426149000,1621143063000,-0.094406,239.779097,media,mixed_profile
123,440,396,187,0.693182,0.1,0.694444,0.681818,1594021903000,1621573257000,-0.012626,318.881412,muy alta,mixed_profile
132,345,317,133,0.852174,0.081159,0.842271,0.964286,1594449920000,1621143530000,0.122014,308.953819,alta,high_accuracy_low_repeat
136,396,334,149,0.931818,0.143939,0.935103,0.912281,1597575694000,1622268745000,-0.022823,285.799201,alta,high_accuracy_low_repeat
137,331,294,178,0.906344,0.087613,0.900662,0.965517,1593351105000,1622294358000,0.064855,334.991354,media,high_accuracy_low_repeat
140,281,231,128,0.925267,0.13879,0.921488,0.948718,1597571720000,1621856156000,0.02723,281.069861,media,high_accuracy_low_repeat
142,377,329,152,0.952255,0.122016,0.951662,0.956522,1599285161000,1618157702000,0.00486,218.432188,alta,high_accuracy_low_repeat
143,284,246,127,0.876761,0.130282,0.870445,0.918919,1599386277000,1622273150000,0.048474,264.894363,media,high_accuracy_low_repeat
144,258,230,141,0.883721,0.108527,0.9,0.75,1596455950000,1621735169000,-0.15,292.583553,baja,high_accuracy_low_repeat
145,291,258,133,0.90378,0.113402,0.899225,0.939394,1594622705000,1622295221000,0.040169,320.28375,media,high_accuracy_low_repeat
152,254,217,117,0.913386,0.145669,0.921659,0.864865,1600950807000,1621769026000,-0.056794,240.951609,baja,high_accuracy_low_repeat
163,307,247,127,0.788274,0.159609,0.786822,0.795918,1597654056000,1615115851000,0.009097,202.104109,media,mixed_profile
169,459,374,142,0.808279,0.139434,0.807595,0.8125,1599290512000,1622290981000,0.004905,266.209132,muy alta,mixed_profile
171,428,333,151,0.773364,0.13785,0.775068,0.762712,1599871465000,1621653310000,-0.012356,252.104688,muy alta,mixed_profile
174,303,276,117,0.749175,0.085809,0.750903,0.730769,1599651392000,1618023271000,-0.020133,212.637488,media,mixed_profile
185,267,228,124,0.891386,0.11985,0.902128,0.8125,1595252497000,1621751967000,-0.089628,306.706829,baja,high_accuracy_low_repeat
188,325,270,133,0.923077,0.156923,0.916058,0.960784,1600947432000,1621751100000,0.044726,240.783194,media,high_accuracy_low_repeat
197,286,208,129,0.842657,0.143357,0.840816,0.853659,1594460713000,1621250734000,0.012842,310.069688,media,mixed_profile
199,342,289,151,0.874269,0.116959,0.870861,0.9,1594549335000,1615119632000,0.029139,238.082141,alta,high_accuracy_low_repeat
203,400,366,177,0.9125,0.075,0.918919,0.833333,1593907468000,1622288229000,-0.085586,328.48103,alta,high_accuracy_low_repeat
207,582,492,208,0.914089,0.149485,0.911111,0.931034,1593434484000,1621738420000,0.019923,327.591852,muy alta,high_accuracy_low_repeat
226,450,345,149,0.902222,0.126667,0.898219,0.929825,1600768162000,1621859980000,0.031606,244.118264,muy alta,high_accuracy_low_repeat
227,284,259,129,0.802817,0.088028,0.799228,0.84,1599961359000,1622204461000,0.040772,257.44331,media,mixed_profile
231,363,317,151,0.947658,0.115702,0.94704,0.952381,1595066104000,1615722865000,0.00534,239.082882,alta,high_accuracy_low_repeat
232,355,264,123,0.822535,0.126761,0.8,0.977778,1594427110000,1622247913000,0.177778,322.000035,alta,mixed_profile
234,554,455,171,0.963899,0.144404,0.964135,0.9625,1599301896000,1622282128000,-0.001635,265.974907,muy alta,high_accuracy_low_repeat
236,287,252,147,0.919861,0.121951,0.928571,0.857143,1596512113000,1621148169000,-0.071429,285.139537,media,high_accuracy_low_repeat
240,639,525,200,0.794992,0.134585,0.78481,0.860465,1595211166000,1622278612000,0.075655,313.280625,muy alta,mixed_profile
241,344,280,143,0.56686,0.116279,0.575658,0.5,1598247315000,1622289859000,-0.075658,278.270185,alta,mixed_profile
251,331,269,114,0.78852,0.169184,0.803636,0.714286,1605879243000,1622258135000,-0.089351,189.570509,media,mixed_profile
252,349,307,162,0.962751,0.120344,0.960912,0.97619,1594023360000,1614938293000,0.015278,242.070984,alta,high_accuracy_low_repeat
254,370,300,153,0.691892,0.118919,0.693252,0.681818,1595228124000,1622204142000,-0.011433,312.222431,alta,mixed_profile
260,461,371,189,0.850325,0.10846,0.841849,0.92,1594460726000,1615079174000,0.078151,238.639444,muy alta,high_accuracy_low_repeat
261,607,469,190,0.85173,0.149918,0.858527,0.813187,1600766641000,1621863802000,-0.04534,244.180104,muy alta,high_accuracy_low_repeat
270,456,357,148,0.817982,0.155702,0.818182,0.816901,1601286411000,1622030379000,-0.00128,240.092222,muy alta,mixed_profile
271,233,206,98,0.862661,0.094421,0.853081,0.954545,1599871544000,1622295957000,0.101465,259.541817,baja,high_accuracy_low_repeat
282,523,444,177,0.959847,0.139579,0.955556,0.986301,1601284671000,1621515173000,0.030746,234.149329,muy alta,high_accuracy_low_repeat
289,367,328,142,0.956403,0.103542,0.966565,0.868421,1600444718000,1621657230000,-0.098144,245.515185,alta,high_accuracy_low_repeat
290,475,415,180,0.858947,0.117895,0.859189,0.857143,1594428906000,1621774825000,-0.002046,316.503692,muy alta,high_accuracy_low_repeat
292,252,210,105,0.837302,0.130952,0.849315,0.757576,1599289626000,1621745490000,-0.091739,259.905833,baja,mixed_profile
293,421,319,145,0.874109,0.152019,0.865546,0.921875,1599960527000,1621659770000,0.056329,251.148646,muy alta,high_accuracy_low_repeat
296,456,365,175,0.938596,0.109649,0.933498,0.98,1594428911000,1614951489000,0.046502,237.529838,muy alta,high_accuracy_low_repeat
298,374,276,158,0.906417,0.13369,0.895062,0.98,1594428926000,1621863779000,0.084938,317.533021,alta,high_accuracy_low_repeat
307,318,231,131,0.518868,0.13522,0.512727,0.55814,1595665861000,1622203705000,0.045412,307.150972,media,mixed_profile
308,316,280,118,0.639241,0.113924,0.607143,0.888889,1599832308000,1622267343000,0.281746,259.664757,media,mixed_profile
310,329,217,135,0.942249,0.142857,0.939716,0.957447,1595238907000,1622282103000,0.01773,312.999954,media,high_accuracy_low_repeat
321,484,378,170,0.954545,0.152893,0.958537,0.932432,1597041914000,1621077730000,-0.026104,278.192315,muy alta,high_accuracy_low_repeat
328,392,329,141,0.897959,0.160714,0.896657,0.904762,1599274326000,1622272653000,0.008105,266.18434,alta,high_accuracy_low_repeat
329,450,388,144,0.915556,0.128889,0.908163,0.965517,1595229783000,1613394524000,0.057354,210.240058,muy alta,high_accuracy_low_repeat
331,491,369,179,0.828921,0.13442,0.823529,0.863636,1594460704000,1621859222000,0.040107,317.112477,muy alta,mixed_profile
332,311,260,145,0.729904,0.135048,0.717472,0.809524,1599558912000,1622271389000,0.092052,262.875891,media,mixed_profile
340,414,312,148,0.756039,0.140097,0.744382,0.827586,1599311626000,1622252231000,0.083204,265.516262,alta,mixed_profile
342,511,416,172,0.714286,0.178082,0.72619,0.659341,1595066431000,1621654570000,-0.06685,307.73309,muy alta,mixed_profile
351,524,429,176,0.832061,0.162214,0.831435,0.835294,1594034970000,1622258134000,0.003859,326.656991,muy alta,mixed_profile
352,360,294,130,0.902778,0.166667,0.91,0.866667,1605750774000,1621772119000,-0.043333,185.432234,alta,high_accuracy_low_repeat
360,373,275,123,0.930295,0.144772,0.9279,0.944444,1600424221000,1621858061000,0.016545,248.076852,alta,high_accuracy_low_repeat
362,241,200,110,0.962656,0.149378,0.965854,0.944444,1599196496000,1611835247000,-0.021409,146.28184,baja,high_accuracy_low_repeat
363,557,468,219,0.850987,0.138241,0.852083,0.844156,1596455018000,1614945923000,-0.007927,214.015104,muy alta,high_accuracy_low_repeat
365,355,306,138,0.484507,0.129577,0.475728,0.543478,1596327917000,1621680522000,0.06775,293.432928,alta,mixed_profile
371,610,510,195,0.719672,0.144262,0.720307,0.715909,1595746688000,1622259488000,-0.004397,306.861111,muy alta,mixed_profile
372,326,293,136,0.671779,0.076687,0.664452,0.76,1597654050000,1619864461000,0.095548,257.064942,media,mixed_profile
373,440,365,171,0.870455,0.140909,0.873016,0.854839,1597543267000,1621862468000,-0.018177,281.472234,muy alta,high_accuracy_low_repeat
376,237,199,128,0.881857,0.151899,0.875622,0.916667,1593424689000,1620124643000,0.041045,309.027245,baja,high_accuracy_low_repeat
380,327,248,131,0.795107,0.134557,0.80212,0.75,1594460723000,1621344469000,-0.05212,311.154468,media,mixed_profile
382,274,244,124,0.806569,0.09854,0.801619,0.851852,1599985790000,1621741057000,0.050232,251.797072,media,mixed_profile
389,326,282,127,0.871166,0.125767,0.866667,0.902439,1593870510000,1609843967000,0.035772,184.877975,media,high_accuracy_low_repeat
390,596,448,187,0.973154,0.139262,0.97271,0.975904,1594460710000,1621859802000,0.003194,317.11912,muy alta,high_accuracy_low_repeat
